Network	Sample	Split	path	TF 	p-value	percent on path
Functional	WPP_24hr	13	L	CG6854	9.7049E-09	78.41409692
Functional	WPP_24hr	13	L	CG4730	8.7662E-10	78.4
Functional	WPP_24hr	13	L	CG17829	3.0677E-14	78.20895522
Functional	WPP_24hr	13	L	wdn	9.42719E-11	78.18181818
Functional	WPP_24hr	13	L	CG17361	1.96106E-14	78.17109145
Functional	WPP_24hr	13	L	CG17802	1.60333E-13	78.04878049
Functional	WPP_24hr	13	L	CG31365	3.31191E-17	78.0104712
Functional	WPP_24hr	13	L	CG9418	0.000676754	78
Functional	WPP_24hr	13	L	Jarid2	2.00645E-08	77.92207792
Functional	WPP_24hr	13	L	pzg	5.1959E-10	77.90262172
Functional	WPP_24hr	13	L	CG1024	2.40871E-11	77.89115646
Functional	WPP_24hr	13	L	YL-1	3.46413E-11	77.7027027
Functional	WPP_24hr	13	L	D1	7.59184E-13	77.67584098
Functional	WPP_24hr	13	L	crp	5.08232E-08	77.63157895
Functional	WPP_24hr	13	L	CG7839	3.26187E-13	77.6119403
Functional	WPP_24hr	13	L	CG12299	3.48667E-07	77.51196172
Functional	WPP_24hr	13	L	ash1	5.53023E-06	77.40112994
Functional	WPP_24hr	13	L	fs(1)h	0.000101563	77.37226277
Functional	WPP_24hr	13	L	psq	5.45671E-08	77.35042735
Functional	WPP_24hr	13	L	CG5180	4.1497E-08	77.31092437
Functional	WPP_24hr	13	L	CG3995	1.85525E-13	77.29885057
Functional	WPP_24hr	13	L	CG18011	9.6584E-08	77.29257642
Functional	WPP_24hr	13	L	Meics	3.86803E-09	77.27272727
Functional	WPP_24hr	13	L	trem	5.00583E-12	77.23076923
Functional	WPP_24hr	13	L	CG12155	3.78664E-07	77.20930233
Functional	WPP_24hr	13	L	CG3281	1.07978E-11	77.1875
Functional	WPP_24hr	13	L	CG6905	1.7711E-06	77.15736041
Functional	WPP_24hr	13	L	lid	1.7711E-06	77.15736041
Functional	WPP_24hr	13	L	Chrac-16	1.45197E-12	77.15133531
Functional	WPP_24hr	13	L	polybromo	2.29171E-11	77.14285714
Functional	WPP_24hr	13	L	CG17912	1.09229E-09	77.14285714
Functional	WPP_24hr	13	L	Ada2b	3.73892E-15	77.10526316
Functional	WPP_24hr	13	L	CG17385	7.07984E-12	77.06422018
Functional	WPP_24hr	13	L	CG4854	9.40301E-11	76.75159236
Functional	WPP_24hr	13	L	CG3847	2.89737E-11	76.59574468
Functional	WPP_24hr	13	L	Dp	2.72697E-13	76.56675749
Functional	WPP_24hr	13	L	CG9797	6.27966E-14	76.5171504
Functional	WPP_24hr	13	L	CG12942	2.59958E-07	76.47058824
Functional	WPP_24hr	13	L	TFAM	2.82815E-05	76.43678161
Functional	WPP_24hr	13	L	CG1647	4.82513E-08	76.33587786
Functional	WPP_24hr	13	L	cg	3.59129E-08	76.31578947
Functional	WPP_24hr	13	L	exd	1.52988E-07	76.30522088
Functional	WPP_24hr	13	L	CG7357	2.48117E-11	76.24633431
Functional	WPP_24hr	13	L	pita	1.97427E-12	76.24309392
Functional	WPP_24hr	13	L	CG17153	3.06918E-15	76.2254902
Functional	WPP_24hr	13	L	CG3065	1.01363E-09	76.12903226
Functional	WPP_24hr	13	L	CG6683	7.41408E-05	76.04790419
Functional	WPP_24hr	13	L	jumu	0.000260363	76.02739726
Functional	WPP_24hr	13	L	Su(var)2-HP2	3.25038E-11	76.01156069
Functional	WPP_24hr	13	L	CG7372	3.31111E-10	76
Functional	WPP_24hr	13	L	CG14710	8.16668E-14	75.94936709
Functional	WPP_24hr	13	L	wek	1.4806E-12	75.93582888
Functional	WPP_24hr	13	L	CG11970	2.02786E-11	75.92067989
Functional	WPP_24hr	13	L	Sry-beta	2.18955E-12	75.87131367
Functional	WPP_24hr	13	L	CG17359	4.2827E-14	75.87064677
Functional	WPP_24hr	13	L	MESR4	4.87445E-07	75.80645161
Functional	WPP_24hr	13	L	Bgb	3.24481E-05	75.80645161
Functional	WPP_24hr	13	L	stc	3.90525E-06	75.79908676
Functional	WPP_24hr	13	L	Su(var)3-7	1.25717E-12	75.78947368
Functional	WPP_24hr	13	L	CG9883	4.39433E-12	75.6684492
Functional	WPP_24hr	13	L	CG30020	4.0592E-12	75.59681698
Functional	WPP_24hr	13	L	CG11504	1.87514E-08	75.59322034
Functional	WPP_24hr	13	L	CG7928	6.50221E-08	75.53191489
Functional	WPP_24hr	13	L	Dref	1.46591E-15	75.39863326
Functional	WPP_24hr	13	L	Su(var)2-10	2.8857E-11	75.33875339
Functional	WPP_24hr	13	L	CG4424	2.85198E-05	75.24752475
Functional	WPP_24hr	13	L	CG8478	2.10841E-10	75.21126761
Functional	WPP_24hr	13	L	CG4936	2.29799E-11	75.13227513
Functional	WPP_24hr	13	L	Bap170	4.80624E-11	75
Functional	WPP_24hr	13	L	Dek	4.22841E-08	74.91856678
Functional	WPP_24hr	13	L	CG8944	1.48142E-11	74.80916031
Functional	WPP_24hr	13	L	CG8359	9.45555E-05	74.61928934
Functional	WPP_24hr	13	L	CG17328	1.90988E-08	74.617737
Functional	WPP_24hr	13	L	CG5245	1.60671E-10	74.54068241
Functional	WPP_24hr	13	L	CG10267	9.76058E-08	74.51612903
Functional	WPP_24hr	13	L	hang	1.0849E-06	74.46043165
Functional	WPP_24hr	13	L	CG4282	8.09294E-10	74.45652174
Functional	WPP_24hr	13	L	CG1602	6.19362E-05	74.40758294
Functional	WPP_24hr	13	L	Set2	6.96142E-06	74.04580153
Functional	WPP_24hr	13	L	dalao	1.76742E-06	74.03508772
Functional	WPP_24hr	13	L	CG11560	5.29203E-06	73.97769517
Functional	WPP_24hr	13	L	Nf-YA	6.89235E-06	73.96226415
Functional	WPP_24hr	13	L	CG8290	8.94265E-06	73.94636015
Functional	WPP_24hr	13	L	CG15514	5.05311E-11	73.64705882
Functional	WPP_24hr	13	L	lola	2.37093E-05	73.54085603
Functional	WPP_24hr	13	L	su(Hw)	2.0856E-06	72.98136646
Functional	WPP_24hr	13	L	Cenp-C	0.000140482	72.48062016
Functional	WPP_24hr	13	L	Adf1	0.000176848	72.44094488
Functional	WPP_24hr	13	L	mod(mdg4)	1.25864E-05	72.43589744
Functional	WPP_24hr	13	L	CG3227	8.55966E-08	71.98067633
Functional	WPP_24hr	13	L	Su(H)	0.000739105	71.65991903
Functional	WPP_24hr	13	L	z	4.2787E-05	71.30177515
Functional	WPP_24hr	13	L	BEAF-32	3.40357E-08	68.42975207
Functional	pupae_WPP_3d	15	H	NK7.1	0.000697876	100
Functional	pupae_WPP_3d	15	H	BEAF-32	1.45922E-05	73.25581395
Functional	pupae_WPP_3d	15	L	drm	1.41286E-06	100
Functional	pupae_WPP_3d	15	L	trh	2.95581E-05	100
Functional	pupae_WPP_3d	15	L	Antp	0.000601587	100
Functional	pupae_WPP_3d	15	L	disco	8.46483E-12	92
Functional	pupae_WPP_3d	15	L	esg	0.000594442	88.23529412
Functional	pupae_WPP_3d	15	L	Dsp1	4.15228E-06	87.09677419
Functional	pupae_WPP_3d	15	L	Abd-B	0.000176736	86.36363636
Functional	pupae_WPP_3d	15	L	gsb-n	0.000606654	85
Functional	pupae_WPP_3d	15	L	abd-A	7.69103E-06	83.33333333
Functional	pupae_WPP_3d	15	L	run	0.000568566	82.60869565
Functional	pupae_WPP_3d	15	L	en	0.000434723	79.31034483
Functional	pupae_WPP_3d	15	L	prd	0.000323465	75
Functional	pupae_WPP_3d	15	L	Mef2	0.000255719	74.41860465
Functional	pupae_WPP_3d	15	L	inv	0.000859771	73.68421053
Functional	pupae_WPP_3d	15	L	D	3.29298E-08	72.38095238
Functional	pupae_WPP_3d	16	H	da	1.63746E-05	100
Functional	pupae_WPP_3d	16	L	chinmo	0.000871553	85.36585366
Functional	pupae_WPP_4d	17	H	sna	0.000388004	93.75
Functional	pupae_WPP_4d	17	H	su(Hw)	2.28663E-05	78.84615385
Functional	pupae_WPP_4d	17	H	Adf1	0.000252413	76.59574468
Functional	pupae_WPP_4d	17	H	Trl	0.000382896	74.07407407
Functional	pupae_WPP_4d	17	L	chinmo	0.000711865	80
Functional	pupae_WPP_4d	18	H	su(Hw)	1.17049E-09	69.60784314
